,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,POINTS,TOP 10,1ST,Year
45,Adam Scott,78,70.420,304.6,62.51,70.66,-.285,1.064,.779,54.85,226,412,1,1081,3,,2018
46,Chez Reavie,93,70.432,286.5,72.24,68.67,.192,.483,.674,62.27,302,485,3,1252,3,,2018
47,Kevin Streelman,94,70.436,295.1,69.11,71.56,-.250,.868,.619,60.93,287,471,4,724,5,,2018
48,Stewart Cink,87,70.440,298.1,57.60,68.58,-.345,.810,.465,55.69,274,492,1,775,3,,2018
49,Jason Kokrak,99,70.444,309.5,58.06,70.37,.022,.517,.539,55.11,291,528,3,1053,4,,2018
50,Matt Kuchar,88,70.461,288.0,63.27,66.81,.348,.228,.576,63.60,304,478,3,740,4,,2018
51,Austin Cook,107,70.469,292.3,66.76,66.51,.315,.254,.569,62.02,400,645,2,1203,3,1,2018
52,Xander Schauffele,96,70.486,304.9,59.77,65.59,.196,.448,.644,57.81,333,576,4,581,7,,2018
53,Russell Henley,77,70.489,293.0,70.03,68.77,.167,.374,.541,54.33,226,416,1,589,3,,2018
54,Cameron Smith,85,70.517,298.4,57.03,63.18,.115,.104,.219,61.12,316,517,5,660,7,,2018
55,J.J. Spaun,85,70.525,298.2,66.18,69.48,-.149,.441,.292,55.76,242,434,3,919,4,,2018
56,Brian Harman,94,70.536,291.9,67.14,67.59,.273,.017,.290,56.95,299,525,7,1129,8,,2018
57,Russell Knox,94,70.568,291.7,67.70,69.57,-.088,.471,.383,59.43,293,493,3,629,3,,2018
58,Beau Hossler,104,70.574,300.0,60.47,67.95,.685,-.101,.584,60.00,360,600,3,1134,5,,2018
59,Peter Uihlein,83,70.578,302.2,52.93,67.88,.021,.247,.268,57.87,261,451,4,911,4,,2018
60,Andrew Putnam,97,70.579,293.8,60.42,70.47,.052,.420,.472,61.52,291,473,3,1267,5,1,2018
61,Ian Poulter,73,70.593,293.6,66.41,67.01,.223,.627,.850,57.11,217,380,3,1090,4,1,2018
62,Pat Perez,82,70.594,290.9,65.09,67.78,.115,-.163,-.048,55.63,242,435,4,1190,4,1,2018
63,Kiradech Aphibarnrat,51,70.629,294.7,65.12,62.20,.138,.373,.511,55.59,174,313,2,,2,,2018
64,Ollie Schniederjans,91,70.641,301.4,52.22,62.77,.325,-.071,.254,56.95,332,583,2,573,3,,2018
65,Abraham Ancer,98,70.659,296.1,63.64,66.49,-.056,.376,.320,62.69,363,579,2,938,5,,2018
66,Anirban Lahiri,82,70.660,294.0,60.09,64.70,.199,-.095,.104,58.35,304,521,2,566,4,,2018
67,Alex Cejka,77,70.675,286.7,66.49,63.77,.009,.302,.312,64.00,288,450,2,524,2,,2018
68,Vaughn Taylor,83,70.692,286.1,67.51,67.02,-.080,.299,.219,59.91,281,469,2,445,3,,2018
69,Rory Sabbatini,91,70.693,292.3,62.05,67.85,.059,.299,.358,61.36,316,515,1,521,1,,2018
70,John Huh,94,70.718,287.1,63.83,65.80,.167,.083,.251,57.94,321,554,1,480,2,,2018
71,Scott Stallings,96,70.719,299.7,56.57,65.62,-.070,.341,.270,60.86,339,557,2,608,2,,2018
72,Brandon Harkins,101,70.721,303.1,54.79,65.67,.225,.050,.275,55.88,328,587,2,545,3,,2018
73,Kevin Kisner,89,70.729,290.8,66.33,65.38,.513,-.476,.037,60.29,293,486,3,1132,4,,2018
74,Patrick Rodgers,97,70.731,303.5,61.14,65.65,.561,-.328,.232,57.22,329,575,3,541,3,,2018
75,Jamie Lovemark,92,70.734,303.2,56.92,64.65,.010,.378,.388,61.07,342,560,3,664,3,,2018
76,Scott Piercy,84,70.736,296.6,65.68,69.72,-.569,.859,.290,55.96,244,436,2,872,2,1,2018
77,Corey Conners,97,70.743,303.3,62.99,70.19,-.385,.579,.193,57.52,287,499,1,353,1,,2018
78,Adam Hadwin,92,70.750,289.4,65.60,68.04,.106,.490,.596,58.59,300,512,3,1226,3,,2018
79,Ryan Armour,109,70.758,283.5,73.58,68.22,-.058,.395,.337,60.13,368,612,1,1113,3,1,2018
80,Jimmy Walker,81,70.786,299.0,53.49,61.90,.324,.033,.357,59.09,312,528,4,741,4,,2018
81,J.B. Holmes,77,70.789,306.1,57.13,65.26,-.207,.756,.549,57.14,268,469,2,668,3,,2018
82,William McGirt,84,70.791,289.3,59.89,67.59,.200,-.021,.178,62.86,286,455,2,449,3,,2018
83,Sam Saunders,80,70.794,302.8,60.14,65.02,.094,.132,.226,55.79,260,466,2,437,4,,2018
84,Kevin Tway,110,70.800,310.1,52.61,66.88,.052,.277,.329,56.77,352,620,2,643,3,,2018
85,Trey Mullinax,75,70.815,318.3,54.94,65.38,.072,-.144,-.072,54.42,234,430,3,550,3,,2018
86,Kevin Chappell,77,70.839,308.6,61.27,66.52,-.344,.668,.323,56.28,251,446,3,667,4,,2018
87,Martin Laird,73,70.839,299.0,63.22,65.90,.282,.189,.470,59.15,236,399,3,453,3,,2018
88,Patton Kizzire,92,70.841,298.7,55.59,69.04,.030,-.063,-.033,55.24,274,496,4,275,4,2,2018
89,Aaron Baddeley,84,70.850,295.3,53.27,63.39,-.057,.366,.309,61.09,314,514,1,342,1,,2018
90,Denny McCarthy,71,70.861,295.4,63.45,68.17,.449,-.355,.094,59.83,216,361,1,267,1,,2018
91,Nick Watney,94,70.862,307.5,56.33,67.96,.200,.143,.343,55.68,289,519,1,760,1,,2018
92,Seamus Power,86,70.869,302.6,55.19,65.17,.498,-.319,.178,63.80,312,489,2,455,2,,2018
93,Troy Merritt,89,70.888,295.4,62.93,65.16,.077,.132,.209,57.60,307,533,2,616,3,1,2018
94,James Hahn,85,70.896,298.7,63.73,68.29,-.152,.431,.279,59.62,279,468,1,666,1,,2018
95,Cameron Percy,56,70.909,295.6,63.66,69.56,-.205,.490,.285,57.30,157,274,1,,2,,2018
96,Sam Ryder,82,70.914,297.3,66.91,72.08,-.349,.503,.154,56.47,227,402,1,551,3,,2018
97,J.T. Poston,73,70.915,300.7,61.53,68.31,.135,.003,.138,57.53,233,405,1,448,2,,2018
98,Keith Mitchell,99,70.920,312.6,58.59,69.42,-.504,.486,-.018,56.55,302,534,3,878,4,,2018
99,Tom Hoge,101,70.945,291.4,62.43,63.62,-.162,.235,.074,61.41,374,609,3,608,3,,2018
100,Harold Varner III,91,70.971,308.2,59.02,67.79,-.024,.149,.125,58.14,300,516,1,524,3,,2018
101,Ben Martin,64,70.974,289.6,63.52,63.98,.118,-.119,-.001,58.80,244,415,1,266,1,,2018
102,Ryan Blaum,81,70.993,289.0,64.31,66.10,.025,-.058,-.033,55.46,264,476,2,433,2,,2018
103,Graeme McDowell,67,71.001,293.2,64.92,64.50,.478,.219,.697,59.95,226,377,1,274,1,,2018
104,Brice Garnett,99,71.018,296.7,64.45,66.78,-.076,-.234,-.310,58.63,333,568,2,933,2,1,2018
105,Brendan Steele,74,71.021,310.3,60.47,69.24,-.576,.604,.029,52.56,195,371,3,1015,3,1,2018
106,"Ted Potter, Jr.",87,71.024,286.0,66.83,63.03,.074,-.169,-.094,57.51,333,579,1,889,1,1,2018
107,Bill Haas,76,71.028,296.2,57.27,64.79,-.059,.139,.079,60.34,283,469,1,,1,,2018
108,Ryan Palmer,69,71.031,305.2,59.11,65.61,-.528,.297,-.231,55.38,216,390,1,916,3,,2018
109,Brian Stuard,103,71.038,278.9,71.44,67.12,.164,-.101,.062,59.23,340,574,3,654,3,,2018
110,Tyler Duncan,97,71.040,294.4,66.74,69.65,-.566,.583,.017,52.76,268,508,2,457,2,,2018
111,Andrew Landry,82,71.059,291.1,62.92,65.63,-.010,-.029,-.039,56.97,282,495,4,1225,5,1,2018
112,Lucas Glover,65,71.066,297.7,65.06,67.12,-.186,.462,.276,59.83,216,361,1,324,1,,2018
113,Ben Crane,65,71.097,281.1,67.52,64.88,.332,-.157,.176,63.00,235,373,1,267,1,,2018
114,Harris English,84,71.162,302.4,58.99,63.32,.222,-.406,-.184,57.86,298,515,2,383,2,,2018
115,Richy Werenski,98,71.185,291.8,65.06,66.97,-.109,-.014,-.124,56.49,309,547,1,498,2,,2018
116,Shawn Stefani,76,71.192,299.6,56.52,67.49,-.034,.141,.107,58.43,253,433,1,268,1,,2018
117,Danny Lee,88,71.196,290.6,62.65,65.05,.156,-.099,.058,60.81,329,541,2,587,3,,2018
118,Tyrone Van Aswegen,101,71.243,290.3,56.98,65.23,-.010,-.313,-.323,58.08,338,582,1,364,1,,2018
119,Tom Lovelady,87,71.252,315.9,54.73,67.08,-.049,-.140,-.190,52.08,250,480,1,332,2,,2018
120,Nick Taylor,94,71.269,292.7,60.94,67.65,-.312,.077,-.235,61.83,324,524,1,420,2,,2018
121,Jhonattan Vegas,92,71.275,303.6,57.91,65.17,-.059,.089,.030,58.60,327,558,1,598,1,,2018
122,Ben Silverman,90,71.281,290.2,65.56,64.95,.238,-.444,-.206,57.36,304,530,2,323,2,,2018
123,Jason Dufner,71,71.323,297.1,63.30,64.24,-.058,.068,.011,58.25,240,412,2,557,2,,2018
124,David Hearn,66,71.325,285.1,66.63,68.89,-.127,.095,-.031,55.65,187,336,1,315,2,,2018
125,Scott Brown,102,71.329,292.6,62.03,65.65,.049,-.710,-.661,54.79,332,606,2,422,2,,2018
126,Kelly Kraft,94,71.333,288.6,65.84,63.83,.075,-.395,-.320,58.93,353,599,2,627,3,,2018
127,Nicholas Lindheim,77,71.344,293.5,60.44,68.04,.355,-.678,-.323,53.90,214,397,1,272,1,,2018
128,Charl Schwartzel,65,71.349,299.5,55.19,61.11,.081,-.276,-.195,57.88,235,406,3,528,3,,2018
129,Bud Cauley,55,71.356,295.4,60.81,64.26,.367,.094,.461,60.12,205,341,2,405,2,,2018
130,Si Woo Kim,108,71.367,290.8,60.68,63.78,-.168,.077,-.092,57.23,388,678,4,1026,5,,2018
131,Adam Schenk,86,71.370,305.5,57.67,67.92,.130,-.280,-.150,54.55,252,462,1,,1,,2018
132,J.J. Henry,81,71.372,291.8,66.22,70.52,-.569,.376,-.193,54.77,218,398,1,,1,,2018
133,Retief Goosen,60,71.409,296.2,55.22,61.75,-.411,-.085,-.497,56.98,204,358,1,,1,,2018
134,Robert Garrigus,80,71.457,307.9,56.37,65.28,-.569,.356,-.213,56.84,270,475,1,353,1,,2018
135,Whee Kim,93,71.477,285.8,61.11,63.55,.427,-.864,-.437,58.56,342,584,2,805,3,,2018
136,Sean O'Hair,67,71.479,302.7,60.09,63.84,-.207,-.026,-.233,57.56,236,410,2,526,2,,2018
137,Xinjun Zhang,81,71.486,298.7,65.33,67.04,-.437,-.297,-.734,58.20,259,445,1,,1,,2018
138,Ricky Barnes,65,71.663,290.6,47.15,63.75,.338,-.703,-.365,57.40,221,385,1,,1,,2018
139,Derek Fathauer,84,71.827,289.1,53.27,60.35,.363,-1.170,-.807,54.99,314,571,1,316,1,,2018
140,Martin Piller,79,71.929,292.2,58.51,60.39,.119,-1.246,-1.127,57.74,317,549,2,371,2,,2018
141,Jonathan Randolph,71,71.945,289.4,62.18,60.43,.115,-.992,-.877,59.83,277,463,1,,1,,2018
142,Sung Kang,89,71.954,293.1,56.72,63.20,-.235,-.806,-1.041,52.40,295,563,1,490,2,,2018
143,Matt Every,79,72.044,294.2,55.50,64.59,-.364,-.775,-1.139,52.51,251,478,1,,1,,2018
144,Grayson Murray,72,72.091,307.3,56.00,62.50,-.350,.014,-.336,54.32,264,486,2,438,2,,2018
145,Satoshi Kodaira,51,72.182,293.6,65.53,60.30,-.645,-1.187,-1.832,51.02,175,343,1,600,1,1,2018
146,Greg Chalmers,56,72.531,282.8,58.90,56.94,.790,-2.056,-1.266,52.85,213,403,1,,1,,2018
147,Daniel Summerhays,51,73.177,287.1,54.69,56.79,.736,-2.840,-2.105,54.86,192,350,1,,1,,2018
