,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,POINTS,TOP 10,1ST,Year
29,Daniel Summerhays,101,70.397,284.0,61.79,65.62,.644,-.103,.541,57.76,361,625,2,1501,5,,2015
30,Danny Lee,120,70.398,283.1,63.92,65.69,.374,.354,.729,60.86,451,741,3,1123,8,1,2015
31,Brendan Steele,88,70.413,302.9,61.13,68.52,-.047,1.005,.958,60.08,286,476,3,1204,4,,2015
32,Russell Knox,96,70.421,284.4,67.76,70.83,-.021,.827,.806,59.92,302,504,3,1435,3,,2015
33,Ian Poulter,68,70.421,286.7,63.58,65.71,.225,.329,.554,60.76,240,395,4,981,4,,2015
34,Shawn Stefani,94,70.421,296.3,62.06,68.79,.074,.423,.497,56.44,298,528,3,1171,3,,2015
35,Rory Sabbatini,81,70.435,290.0,60.30,67.83,-.106,.567,.461,63.11,296,469,4,1064,4,,2015
36,Keegan Bradley,87,70.450,306.1,64.85,67.53,-.070,1.088,1.018,58.25,286,491,3,1103,3,,2015
37,Adam Scott,51,70.456,311.6,60.69,69.62,-.396,.601,.206,54.09,139,257,2,585,3,,2015
38,Francesco Molinari,56,70.458,281.6,76.88,71.07,-.255,.859,.604,58.33,161,276,2,558,2,,2015
39,George McNeill,93,70.478,286.2,64.10,66.43,.212,.351,.563,61.21,344,562,1,1086,1,,2015
40,Lee Westwood,56,70.484,300.0,59.70,66.45,.595,.283,.879,52.23,164,314,1,576,1,,2015
41,Brendon Todd,96,70.533,276.4,70.24,65.47,.582,.248,.830,62.63,362,578,3,1279,4,,2015
42,Luke Donald,71,70.555,277.0,59.28,65.57,.289,.295,.584,61.14,269,440,1,782,2,,2015
43,Marc Leishman,74,70.569,294.8,54.99,65.62,-.020,.322,.302,56.67,242,427,3,854,4,,2015
44,Daniel Berger,97,70.581,302.1,60.74,68.84,-.193,.682,.489,60.66,330,544,5,878,6,,2015
45,Russell Henley,87,70.581,297.1,64.39,67.06,.579,-.116,.462,57.43,286,498,3,1072,4,,2015
46,J.B. Holmes,89,70.581,309.9,54.05,63.66,-.004,.949,.944,59.35,330,556,5,618,7,1,2015
47,Phil Mickelson,70,70.585,300.5,55.98,61.51,.262,.319,.581,59.38,288,485,3,1091,3,,2015
48,Chad Campbell,97,70.604,285.2,65.75,68.61,-.045,.482,.437,59.31,325,548,2,670,2,,2015
49,Charley Hoffman,97,70.613,298.9,58.01,66.19,.065,.269,.335,58.74,336,572,5,992,7,1,2015
50,Patrick Rodgers,57,70.619,307.7,56.97,66.77,-.003,.133,.129,56.47,179,317,1,,2,,2015
51,Jason Dufner,76,70.633,286.7,67.81,69.03,-.700,.922,.222,55.28,225,407,2,730,2,,2015
52,Brendon de Jonge,106,70.642,285.3,65.69,67.51,-.007,.320,.312,59.19,367,620,3,1228,3,,2015
53,Brian Harman,90,70.647,287.9,64.37,66.67,.236,.177,.413,59.63,322,540,2,1135,3,,2015
54,William McGirt,103,70.647,280.4,67.87,67.85,.060,.395,.455,64.09,382,596,1,955,1,,2015
55,Jason Kokrak,88,70.654,305.6,56.41,67.30,-.012,.306,.293,58.30,302,518,2,614,2,,2015
56,Pat Perez,96,70.666,284.6,65.70,67.88,.364,.222,.586,60.00,333,555,2,1287,2,,2015
57,Kevin Chappell,86,70.672,293.5,63.86,66.02,.168,.202,.370,59.32,312,526,1,1186,2,,2015
58,Bill Haas,89,70.672,290.7,63.35,68.80,-.229,.689,.460,61.90,299,483,3,380,5,1,2015
59,Nick Watney,91,70.680,294.0,61.08,67.34,-.403,.661,.258,58.69,314,535,3,1135,3,,2015
60,Scott Piercy,90,70.688,296.7,59.30,66.73,.006,.322,.329,58.63,316,539,3,432,5,1,2015
61,Colt Knost,90,70.698,276.6,71.24,67.44,.348,-.152,.196,58.93,297,504,3,714,4,,2015
62,Zac Blair,108,70.714,273.1,67.91,65.54,.527,-.356,.171,64.81,418,645,1,1126,2,,2015
63,Jim Herman,88,70.719,293.8,67.10,73.23,-.030,.407,.376,58.02,246,424,2,840,2,,2015
64,Graham DeLaet,65,70.720,298.7,65.46,69.15,-.012,.299,.287,57.34,207,361,2,545,3,,2015
65,Hudson Swafford,97,70.732,298.9,63.34,68.54,.360,-.022,.338,55.39,298,538,1,776,1,,2015
66,Vijay Singh,78,70.761,290.6,60.06,66.24,-.511,.812,.302,60.97,289,474,1,508,1,,2015
67,Martin Laird,77,70.772,300.5,58.54,66.31,.100,.206,.306,60.17,281,467,3,628,3,,2015
68,Boo Weekley,79,70.775,292.0,63.27,67.72,-.246,.671,.425,59.91,275,459,5,830,6,,2015
69,Bryce Molder,91,70.779,277.9,66.80,65.45,.508,-.319,.189,62.85,340,541,1,875,2,,2015
70,Scott Brown,97,70.797,288.2,62.77,65.18,-.031,.216,.185,60.69,369,608,2,696,3,,2015
71,David Lingmerth,90,70.800,289.5,65.51,64.94,.039,.366,.405,61.27,348,568,1,1387,4,1,2015
72,Johnson Wagner,68,70.807,290.7,62.11,68.95,.203,-.108,.095,59.47,226,380,1,733,3,,2015
73,Matt Jones,89,70.812,296.0,59.70,64.05,.401,.263,.664,61.27,337,550,3,1445,4,,2015
74,Ryan Moore,81,70.829,282.6,70.05,65.24,.160,.418,.578,60.25,294,488,3,1374,4,1,2015
75,Steven Bowditch,103,70.835,302.1,54.04,63.43,.144,.256,.400,65.19,442,678,2,454,2,1,2015
