,NAME,ROUNDS,DRIVE_DISTANCE,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,TOP 10,1ST,SCORING1,SCORING2,SCORING3,SCORING4,SCORING5,FWY_%1,FWY_%2,FWY_%3,FWY_%4,FWY_%5,GIR_%1,GIR_%2,GIR_%3,GIR_%4,GIR_%5,SG_P1,SG_P2,SG_P3,SG_P4,SG_P5,SG_TTG1,SG_TTG2,SG_TTG3,SG_TTG4,SG_TTG5,SG_T1,SG_T2,SG_T3,SG_T4,SG_T5,SCRAMBLING_P1,SCRAMBLING_P2,SCRAMBLING_P3,SCRAMBLING_P4,SCRAMBLING_P5
90,Hideki Matsuyama,325,1202.8,1069,1726,16,26,4.0,70.034,69.624,70.022,69.841,,62.04,58.61,62.82,61.28,,68.11,69.01,69.29,69.38,,-0.025,-0.345,0.132,0.011,,1.315,1.613,1.064,1.487,,1.29,1.267,1.196,1.498,,60.86,61.56,60.8,64.12,
91,Hiroshi Iwata,85,288.8,359,605,1,1,0.0,71.693,,,,,58.34,,,,,59.5,,,,,0.174,,,,,-0.817,,,,,-0.643,,,,,59.34,,,,
92,Hudson Swafford,257,907.2,795,1440,5,6,1.0,70.875,70.618,71.35,,,61.43,60.27,57.66,,,68.8,68.21,66.76,,,0.205,-0.005,-0.031,,,0.093,0.319,-0.167,,,0.298,0.314,-0.198,,,54.97,55.53,55.13,,
93,Ian Poulter,210,868.6,717,1161,8,12,1.0,70.045,70.593,70.502,,,62.55,66.41,63.6,,,64.46,67.01,66.86,,,0.025,0.223,0.425,,,0.911,0.627,0.339,,,0.936,0.85,0.764,,,67.36,57.11,59.83,,
94,J.B. Holmes,315,1234.8,1074,1885,9,13,1.0,70.523,70.66,70.789,71.735,,51.68,51.27,57.13,56.5,,65.17,62.57,65.26,65.57,,-0.129,-0.032,-0.207,-0.752,,0.633,0.708,0.756,0.302,,0.504,0.676,0.549,-0.45,,56.68,56.64,57.14,57.5,
95,J.J. Henry,231,874.7,677,1183,3,4,0.0,71.164,71.372,72.135,,,62.58,66.22,65.06,,,69.44,70.52,66.67,,,-0.43,-0.569,-0.657,,,0.258,0.376,-0.535,,,-0.172,-0.193,-1.192,,,56.66,54.77,61.22,,
96,J.J. Spaun,343,1165.8,1065,1833,9,10,0.0,70.999,70.525,71.034,71.855,,65.11,66.18,63.56,68.99,,67.12,69.48,68.36,67.36,,-0.027,-0.149,-0.021,-0.398,,-0.045,0.441,0.051,0.004,,-0.072,0.292,0.03,-0.394,,59.14,55.76,59.53,57.68,
97,J.T. Poston,268,890.0,912,1518,4,6,1.0,70.982,70.915,70.633,,,59.44,61.53,62.89,,,65.52,68.31,66.84,,,-0.117,0.135,0.212,,,0.147,0.003,0.294,,,0.031,0.138,0.506,,,59.07,57.53,62.83,,
98,James Hahn,338,1180.6,1169,1989,7,13,1.0,71.245,70.925,70.896,70.897,,60.71,63.14,63.73,66.94,,64.58,66.09,68.29,68.81,,-0.243,0.036,-0.152,0.165,,0.043,0.223,0.431,0.028,,-0.199,0.26,0.279,0.193,,55.72,60.58,59.62,59.29,
99,Jamie Lovemark,281,912.9000000000001,1043,1714,11,12,0.0,70.896,70.391,70.734,,,57.32,57.39,56.92,,,65.32,66.09,64.65,,,0.131,-0.017,0.01,,,0.373,0.76,0.378,,,0.504,0.743,0.388,,,61.44,60.07,61.07,,
