,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,TOP 10_x,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10_y,1ST,2ND,3RD,Year
24,Adam Hadwin,"4,192",62,"4,192","35,515","35,515",120,535,535,835,744,744,"1,080",-0.28,7.947,7.947,-.127,-.127,.458,.348,39.190,39.190,31.242,7.947,214,214,336,1,532,18,0,4,"2,310",,,,,,2016
25,Harold Varner III,"3,010",50,"3,010","26,105","26,105",86,329,329,597,502,502,774,-0.34,1.873,1.873,-.136,-.136,.413,.397,25.483,25.483,23.610,1.873,171,171,272,3,557,15,0,3,"2,285",,,,,1,2016
26,Adam Scott,"2,810",44,"2,810","25,006","25,006",80,308,308,556,476,476,720,-0.33,16.377,16.377,.214,.214,.291,-.181,27.718,27.718,11.341,16.377,144,144,244,4,417,12,0,3,"2,425",,,,,,2016
27,Jordan Spieth,"2,926",45,"2,926","25,851","25,851",84,348,348,591,523,523,756,-0.32,-14.276,-14.276,.467,.467,.643,.259,36.409,36.409,50.686,-14.276,156,156,233,5,"1,277",13,1,3,"1,565",,1,1,2,,2016
28,Daniel Berger,"1,975",31,"1,975","16,458","16,458",56,271,271,396,326,326,504,-0.29,-1.777,-1.777,.379,.379,.579,.300,27.161,27.161,28.939,-1.777,118,118,178,4,395,9,0,2,"2,447",,,,,,2016
29,Brendan Steele,"3,737",57,"3,737","30,081","30,081",98,438,438,738,647,647,954,-0.24,-18.383,-18.383,.707,.707,.094,-.129,9.832,9.832,28.216,-18.383,192,192,307,1,563,17,0,3,"2,279",,,,1,,2016
30,Jason Day,"2,810",44,"2,810","24,153","24,153",80,331,331,553,462,462,720,-0.33,8.863,8.863,-.148,-.148,-.185,.230,5.396,5.396,-3.469,8.863,159,159,258,7,302,13,0,2,"2,540",,,,,1,2016
31,Justin Rose,"2,388",41,"2,388","20,354","20,354",68,305,305,475,412,412,612,-0.31,9.476,9.476,.098,.098,.052,-.141,9.693,9.693,.216,9.476,124,124,200,5,308,12,0,1,"2,534",,,,,,2016
32,Jason Kokrak,"3,366",51,"3,366","29,719","29,719",96,417,417,670,564,564,864,-0.32,16.028,16.028,.044,.044,.085,-.084,18.012,18.012,1.983,16.028,184,184,300,2,784,14,1,1,"2,058",,1,1,,,2016
33,Rickie Fowler,"3,183",45,"3,183","25,519","25,519",82,361,361,626,513,513,810,-0.30,-8.838,-8.838,-.083,-.083,.245,.294,6.683,6.683,15.524,-8.838,167,167,297,6,291,14,0,1,"2,551",,,,,1,2016
34,Ryan Palmer,"3,173",49,"3,173","25,180","25,180",82,346,346,621,556,556,810,-0.26,-14.161,-14.161,.491,.491,.252,.096,12.664,12.664,26.825,-14.161,139,139,254,2,310,15,0,1,"2,532",,,,,,2016
35,Tony Finau,"3,371",51,"3,371","29,046","29,046",96,384,384,670,594,594,864,-0.29,-14.914,-14.914,.473,.473,.490,.064,23.094,23.094,38.010,-14.914,161,161,270,2,412,15,0,1,"2,430",,,,1,,2016
36,Scott Stallings,"4,361",64,"4,361","37,617","37,617",124,461,461,857,717,717,"1,116",-0.30,18.534,18.534,-.095,-.095,-.018,.043,15.005,15.005,-3.531,18.534,248,248,399,1,420,21,0,2,"2,422",,,,,,2016
37,Martin Laird,"2,964",44,"2,964","25,059","25,059",84,394,394,584,514,514,756,-0.24,-17.382,-17.382,.223,.223,.355,.105,7.862,7.862,25.244,-17.382,155,155,242,1,214,14,0,,"2,628",,,,,,2016
38,Patrick Rodgers,"3,875",59,"3,875","33,945","33,945",110,380,380,765,685,685,990,-0.27,14.749,14.749,.075,.075,.041,.019,20.280,20.280,5.532,14.749,185,185,305,2,377,18,0,3,"2,465",,,,,,2016
39,Dustin Johnson,"2,111",37,"2,111","18,767","18,767",60,229,229,416,358,358,540,-0.32,-5.499,-5.499,.337,.337,.532,-.123,13.154,13.154,18.653,-5.499,107,107,182,9,350,10,0,2,"2,492",,,,,,2016
40,James Hahn,"3,170",49,"3,170","24,604","24,604",82,384,384,620,527,527,810,-0.26,-16.164,-16.164,.306,.306,.062,.167,2.054,2.054,18.219,-16.164,182,182,283,2,239,17,0,2,"2,603",,,,,,2016
41,Luke Donald,"3,167",45,"3,167","25,623","25,623",90,374,374,623,536,536,810,-0.27,-2.455,-2.455,-.828,-.828,.691,.276,1.980,1.980,4.435,-2.455,171,171,274,1,139,15,0,,"2,703",,,,,,2016
42,Si Woo Kim,"4,848",72,"4,848","39,076","39,076",130,617,617,966,813,813,"1,242",-0.30,-17.732,-17.732,.366,.366,.045,.162,15.497,15.497,33.229,-17.732,266,266,429,2,580,20,0,1,"2,262",,,,,,2016
43,Anirban Lahiri,"3,962",56,"3,962","33,207","33,207",112,479,479,778,647,647,"1,008",-0.27,-1.170,-1.170,.390,.390,-.341,.238,12.001,12.001,13.172,-1.170,218,218,361,1,561,18,0,2,"2,281",,,,1,,2016
44,Bubba Watson,"1,571",29,"1,571","13,247","13,247",44,191,191,306,251,251,396,-0.29,-3.715,-3.715,.277,.277,.040,.152,4.737,4.737,8.452,-3.715,78,78,145,3,199,9,0,1,"2,643",,,,,,2016
45,Ian Poulter,"2,401",41,"2,401","19,998","19,998",68,297,297,474,380,380,612,-0.29,11.677,11.677,-.281,-.281,-.080,.268,8.698,8.698,-2.978,11.677,149,149,232,1,162,13,0,,"2,680",,,,,,2016
46,Kevin Streelman,"4,512",64,"4,512","37,918","37,918",128,613,613,883,751,751,"1,152",-0.25,2.562,2.562,.290,.290,-.185,.160,17.450,17.450,14.886,2.562,256,256,401,2,294,19,0,1,"2,548",,,,,,2016
47,Nick Taylor,"4,384",62,"4,384","36,606","36,606",124,519,519,857,731,731,"1,116",-0.25,-7.622,-7.622,.025,.025,.119,.019,.043,.043,7.663,-7.622,243,243,385,1,291,19,0,,"2,551",,,,,,2016
48,Peter Malnati,"5,279",75,"5,279","42,000","42,000",142,552,552,"1,037",870,870,"1,350",-0.31,15.364,15.364,-.298,-.298,.105,.133,11.792,11.792,-3.573,15.364,294,294,480,3,385,22,0,2,"2,457",,,,,,2016
49,Danny Willett,"2,696",42,"2,696","22,380","22,380",76,332,332,528,440,440,684,-0.24,-8.729,-8.729,-.002,-.002,-.368,.640,-2.259,-2.259,6.470,-8.729,151,151,244,3,182,13,0,,"2,660",,,,,,2016
50,Kevin Na,"2,389",38,"2,389","19,719","19,719",68,314,314,476,413,413,612,-0.31,-.595,-.595,-.588,-.588,.472,.191,1.671,1.671,2.267,-.595,117,117,199,6,306,11,0,1,"2,536",,,,,,2016
51,William McGirt,"2,116",30,"2,116","17,141","17,141",60,262,262,418,356,356,540,-0.21,-4.625,-4.625,-.337,-.337,-.326,.523,-8.671,-8.671,-4.046,-4.625,120,120,184,5,62,11,0,,"2,780",,,,,,2016
52,Brooks Koepka,"2,817",45,"2,817","24,882","24,882",80,299,299,558,460,460,720,-0.31,9.450,9.450,.146,.146,-.065,-.168,6.462,6.462,-2.988,9.450,158,158,260,5,405,14,0,2,"2,437",,,,,1,2016
53,Vaughn Taylor,"2,604",39,"2,604","20,910","20,910",74,356,356,514,439,439,666,-0.27,-13.783,-13.783,-.144,-.144,.326,.080,-7.498,-7.498,6.286,-13.783,146,146,227,1,113,13,0,1,"2,729",,,,,,2016
54,Patton Kizzire,"4,362",64,"4,362","37,701","37,701",124,464,464,864,732,732,"1,116",-0.30,3.443,3.443,-.146,-.146,.249,-.102,3.494,3.494,.052,3.443,240,240,384,5,283,19,0,1,"2,559",,,,,,2016
55,Brian Stuard,"4,870",73,"4,870","37,932","37,932",138,682,682,953,807,807,"1,242",-0.25,-17.838,-17.838,-.484,-.484,.132,.220,-24.316,-24.316,-6.477,-17.838,279,279,435,1,258,24,0,2,"2,584",,,,,,2016
56,Graeme McDowell,"2,962",44,"2,962","23,804","23,804",84,378,378,580,495,495,756,-0.29,3.896,3.896,-.316,-.316,.257,-.316,-6.966,-6.966,-10.863,3.896,163,163,261,4,197,15,0,,"2,645",,,,,,2016
57,Francesco Molinari,"2,901",41,"2,901","24,121","24,121",82,347,347,571,468,468,738,-0.29,1.326,1.326,-.241,-.241,-.134,.277,-2.024,-2.024,-3.349,1.326,157,157,270,2,181,13,0,1,"2,661",,,,,,2016
58,Zach Johnson,"3,134",44,"3,134","24,962","24,962",88,372,372,610,492,492,792,-0.26,9.127,9.127,-.391,-.391,-.271,.031,-14.233,-14.233,-23.361,9.127,170,170,300,4,182,17,0,,"2,660",,,,,,2016
59,Lucas Glover,"4,310",63,"4,310","36,142","36,142",122,587,587,857,762,762,"1,098",-0.26,-30.120,-30.120,.269,.269,.398,-.159,-3.745,-3.745,26.375,-30.120,188,188,336,2,322,18,0,1,"2,520",,,,,,2016
60,Scott Piercy,"3,960",60,"3,960","33,098","33,098",112,428,428,773,626,626,"1,008",-0.29,-.219,-.219,-.105,-.105,-.110,.166,-2.440,-2.440,-2.222,-.219,236,236,382,2,226,19,0,,"2,616",,,,,,2016
61,John Huh,"3,314",49,"3,314","27,281","27,281",94,429,429,648,556,556,846,-0.29,.759,.759,-.145,-.145,-.107,-.040,-9.189,-9.189,-9.948,.759,172,172,290,3,210,16,0,1,"2,632",,,,,,2016
62,Kevin Kisner,"3,024",54,"3,024","24,946","24,946",86,412,412,601,522,522,774,-0.31,19.908,19.908,-.190,-.190,-.169,.262,16.408,16.408,-3.502,19.908,143,143,252,5,769,16,0,4,"2,073",,,,1,1,2016
