,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,TOP 10_x,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10_y,1ST,2ND,3RD,Year
22,Gary Woodland,"3,449",49,"3,449","30,534","30,534",98,364,364,676,590,590,882,-0.28,11.773,11.773,.209,.209,.432,.066,41.459,41.459,29.686,11.773,181,181,292,4,470,16,0,4,"2,372",,,,,,2017
23,Sergio Garcia,"2,256",37,"2,256","19,485","19,485",64,268,268,448,386,386,576,-0.28,5.983,5.983,.712,.712,-.266,.040,17.648,17.648,11.667,5.983,118,118,190,2,294,11,0,1,"2,548",,,,,,2017
24,Mackenzie Hughes,"3,521",53,"3,521","27,232","27,232",92,411,411,689,577,577,900,-0.30,23.737,23.737,-.272,-.272,-.103,.215,17.668,17.668,-6.070,23.737,195,195,323,2,670,17,0,3,"2,172",,,,1,,2017
25,Webb Simpson,"2,663",41,"2,663","22,794","22,794",76,344,344,528,440,440,684,-0.31,.892,.892,-.015,-.015,.205,.296,16.954,16.954,16.061,.892,144,144,244,2,262,12,0,1,"2,580",,,,,,2017
26,Russell Knox,"4,696",71,"4,696","39,404","39,404",134,638,638,929,869,869,"1,206",-0.24,-31.253,-31.253,.298,.298,.535,-.021,14.235,14.235,45.488,-31.253,198,198,337,3,398,21,0,2,"2,444",,,,,,2017
27,C.T. Pan,"4,000",57,"4,000","31,382","31,382",106,480,480,784,691,691,"1,026",-0.27,-.726,-.726,.084,.084,.348,.249,30.593,30.593,31.320,-.726,211,211,335,2,404,16,0,2,"2,438",,,,,,2017
28,Cameron Tringale,"4,194",67,"4,194","33,974","33,974",112,483,483,823,743,743,"1,080",-0.31,10.425,10.425,-.182,-.182,.447,.127,29.656,29.656,19.229,10.425,205,205,337,2,794,19,0,4,"2,048",,,,1,1,2017
29,Charles Howell III,"2,936",42,"2,936","25,584","25,584",84,357,357,584,530,530,756,-0.27,-12.343,-12.343,.338,.338,-.049,.450,13.520,13.520,25.864,-12.343,139,139,226,4,277,13,0,1,"2,565",,,,,,2017
30,Adam Hadwin,"4,192",62,"4,192","35,515","35,515",120,535,535,835,744,744,"1,080",-0.28,7.947,7.947,-.127,-.127,.458,.348,39.190,39.190,31.242,7.947,214,214,336,4,532,18,0,4,"2,310",,,,,,2017
31,Adam Scott,"2,810",44,"2,810","25,006","25,006",80,308,308,556,476,476,720,-0.33,16.377,16.377,.214,.214,.291,-.181,27.718,27.718,11.341,16.377,144,144,244,4,417,12,0,3,"2,425",,,,,,2017
32,J.J. Spaun,"5,055",72,"5,055","42,343","42,343",144,649,649,999,880,880,"1,296",-0.29,4.034,4.034,.207,.207,.186,-.008,24.812,24.812,20.776,4.034,252,252,416,3,897,21,1,2,"1,945",,1,1,,,2017
33,Jordan Spieth,"2,926",45,"2,926","25,851","25,851",84,348,348,591,523,523,756,-0.32,-14.276,-14.276,.467,.467,.643,.259,36.409,36.409,50.686,-14.276,156,156,233,6,"1,277",13,1,3,"1,565",,1,1,2,,2017
34,Daniel Berger,"1,975",31,"1,975","16,458","16,458",56,271,271,396,326,326,504,-0.29,-1.777,-1.777,.379,.379,.579,.300,27.161,27.161,28.939,-1.777,118,118,178,4,395,9,0,2,"2,447",,,,,,2017
35,Brendan Steele,"3,737",57,"3,737","30,081","30,081",98,438,438,738,647,647,954,-0.24,-18.383,-18.383,.707,.707,.094,-.129,9.832,9.832,28.216,-18.383,192,192,307,4,563,17,0,3,"2,279",,,,1,,2017
36,Jason Day,"2,810",44,"2,810","24,153","24,153",80,331,331,553,462,462,720,-0.33,8.863,8.863,-.148,-.148,-.185,.230,5.396,5.396,-3.469,8.863,159,159,258,2,302,13,0,2,"2,540",,,,,1,2017
37,Joel Dahmen,"4,127",63,"4,127","34,586","34,586",118,560,560,821,737,737,"1,062",-0.29,-1.083,-1.083,.191,.191,.343,-.320,9.678,9.678,10.759,-1.083,185,185,325,1,410,18,0,2,"2,432",,,,,,2017
38,Justin Rose,"2,388",41,"2,388","20,354","20,354",68,305,305,475,412,412,612,-0.31,9.476,9.476,.098,.098,.052,-.141,9.693,9.693,.216,9.476,124,124,200,4,308,12,0,1,"2,534",,,,,,2017
39,Jason Kokrak,"3,366",51,"3,366","29,719","29,719",96,417,417,670,564,564,864,-0.32,16.028,16.028,.044,.044,.085,-.084,18.012,18.012,1.983,16.028,184,184,300,1,784,14,1,1,"2,058",,1,1,,,2017
40,Rickie Fowler,"3,183",45,"3,183","25,519","25,519",82,361,361,626,513,513,810,-0.30,-8.838,-8.838,-.083,-.083,.245,.294,6.683,6.683,15.524,-8.838,167,167,297,6,291,14,0,1,"2,551",,,,,1,2017
41,Ryan Palmer,"3,173",49,"3,173","25,180","25,180",82,346,346,621,556,556,810,-0.26,-14.161,-14.161,.491,.491,.252,.096,12.664,12.664,26.825,-14.161,139,139,254,2,310,15,0,1,"2,532",,,,,,2017
42,Tony Finau,"3,371",51,"3,371","29,046","29,046",96,384,384,670,594,594,864,-0.29,-14.914,-14.914,.473,.473,.490,.064,23.094,23.094,38.010,-14.914,161,161,270,4,412,15,0,1,"2,430",,,,1,,2017
43,Scott Stallings,"4,361",64,"4,361","37,617","37,617",124,461,461,857,717,717,"1,116",-0.30,18.534,18.534,-.095,-.095,-.018,.043,15.005,15.005,-3.531,18.534,248,248,399,1,420,21,0,2,"2,422",,,,,,2017
44,Martin Laird,"2,964",44,"2,964","25,059","25,059",84,394,394,584,514,514,756,-0.24,-17.382,-17.382,.223,.223,.355,.105,7.862,7.862,25.244,-17.382,155,155,242,4,214,14,0,,"2,628",,,,,,2017
45,Patrick Rodgers,"3,875",59,"3,875","33,945","33,945",110,380,380,765,685,685,990,-0.27,14.749,14.749,.075,.075,.041,.019,20.280,20.280,5.532,14.749,185,185,305,2,377,18,0,3,"2,465",,,,,,2017
46,J.T. Poston,"3,520",52,"3,520","29,811","29,811",100,425,425,694,586,586,900,-0.27,-.454,-.454,.369,.369,-.273,.100,8.158,8.158,8.612,-.454,205,205,314,1,284,19,0,2,"2,558",,,,,1,2017
47,Dustin Johnson,"2,111",37,"2,111","18,767","18,767",60,229,229,416,358,358,540,-0.32,-5.499,-5.499,.337,.337,.532,-.123,13.154,13.154,18.653,-5.499,107,107,182,6,350,10,0,2,"2,492",,,,,,2017
48,James Hahn,"3,170",49,"3,170","24,604","24,604",82,384,384,620,527,527,810,-0.26,-16.164,-16.164,.306,.306,.062,.167,2.054,2.054,18.219,-16.164,182,182,283,3,239,17,0,2,"2,603",,,,,,2017
49,Luke Donald,"3,167",45,"3,167","25,623","25,623",90,374,374,623,536,536,810,-0.27,-2.455,-2.455,-.828,-.828,.691,.276,1.980,1.980,4.435,-2.455,171,171,274,1,139,15,0,,"2,703",,,,,,2017
50,Si Woo Kim,"4,848",72,"4,848","39,076","39,076",130,617,617,966,813,813,"1,242",-0.30,-17.732,-17.732,.366,.366,.045,.162,15.497,15.497,33.229,-17.732,266,266,429,2,580,20,0,1,"2,262",,,,,,2017
51,Anirban Lahiri,"3,962",56,"3,962","33,207","33,207",112,479,479,778,647,647,"1,008",-0.27,-1.170,-1.170,.390,.390,-.341,.238,12.001,12.001,13.172,-1.170,218,218,361,2,561,18,0,2,"2,281",,,,1,,2017
52,Bubba Watson,"1,571",29,"1,571","13,247","13,247",44,191,191,306,251,251,396,-0.29,-3.715,-3.715,.277,.277,.040,.152,4.737,4.737,8.452,-3.715,78,78,145,3,199,9,0,1,"2,643",,,,,,2017
53,Ian Poulter,"2,401",41,"2,401","19,998","19,998",68,297,297,474,380,380,612,-0.29,11.677,11.677,-.281,-.281,-.080,.268,8.698,8.698,-2.978,11.677,149,149,232,1,162,13,0,,"2,680",,,,,,2017
54,Kevin Streelman,"4,512",64,"4,512","37,918","37,918",128,613,613,883,751,751,"1,152",-0.25,2.562,2.562,.290,.290,-.185,.160,17.450,17.450,14.886,2.562,256,256,401,1,294,19,0,1,"2,548",,,,,,2017
55,Nick Taylor,"4,384",62,"4,384","36,606","36,606",124,519,519,857,731,731,"1,116",-0.25,-7.622,-7.622,.025,.025,.119,.019,.043,.043,7.663,-7.622,243,243,385,3,291,19,0,,"2,551",,,,,,2017
56,Kevin Na,"2,389",38,"2,389","19,719","19,719",68,314,314,476,413,413,612,-0.31,-.595,-.595,-.588,-.588,.472,.191,1.671,1.671,2.267,-.595,117,117,199,3,306,11,0,1,"2,536",,,,,,2017
57,William McGirt,"2,116",30,"2,116","17,141","17,141",60,262,262,418,356,356,540,-0.21,-4.625,-4.625,-.337,-.337,-.326,.523,-8.671,-8.671,-4.046,-4.625,120,120,184,3,62,11,0,,"2,780",,,,,,2017
58,Pat Perez,"3,811",54,"3,811","28,859","28,859",100,427,427,741,626,626,972,-0.29,.248,.248,-.460,-.460,.212,.419,7.613,7.613,7.365,.248,214,214,346,5,249,17,0,2,"2,593",,,,,,2017
59,Brooks Koepka,"2,817",45,"2,817","24,882","24,882",80,299,299,558,460,460,720,-0.31,9.450,9.450,.146,.146,-.065,-.168,6.462,6.462,-2.988,9.450,158,158,260,5,405,14,0,2,"2,437",,,,,1,2017
60,Robert Streb,"3,737",55,"3,737","29,476","29,476",98,443,443,728,609,609,954,-0.28,2.724,2.724,-.087,-.087,-.126,.051,-4.534,-4.534,-7.258,2.724,216,216,345,1,284,19,0,3,"2,558",,,,,,2017
61,Patton Kizzire,"4,362",64,"4,362","37,701","37,701",124,464,464,864,732,732,"1,116",-0.30,3.443,3.443,-.146,-.146,.249,-.102,3.494,3.494,.052,3.443,240,240,384,2,283,19,0,1,"2,559",,,,,,2017
62,Michael Thompson,"4,226",60,"4,226","34,235","34,235",120,550,550,833,686,686,"1,080",-0.30,8.818,8.818,-.264,-.264,-.253,.047,-14.644,-14.644,-23.463,8.818,253,253,394,1,282,18,0,1,"2,560",,,,,,2017
63,Stewart Cink,"3,319",47,"3,319","28,553","28,553",94,390,390,655,571,571,846,-0.29,1.929,1.929,-.106,-.106,.165,-.338,-9.769,-9.769,-11.700,1.929,143,143,275,3,269,15,0,2,"2,573",,,,,,2017
64,Francesco Molinari,"2,901",41,"2,901","24,121","24,121",82,347,347,571,468,468,738,-0.29,1.326,1.326,-.241,-.241,-.134,.277,-2.024,-2.024,-3.349,1.326,157,157,270,4,181,13,0,1,"2,661",,,,,,2017
65,Zach Johnson,"3,134",44,"3,134","24,962","24,962",88,372,372,610,492,492,792,-0.26,9.127,9.127,-.391,-.391,-.271,.031,-14.233,-14.233,-23.361,9.127,170,170,300,2,182,17,0,,"2,660",,,,,,2017
66,Lucas Glover,"4,310",63,"4,310","36,142","36,142",122,587,587,857,762,762,"1,098",-0.26,-30.120,-30.120,.269,.269,.398,-.159,-3.745,-3.745,26.375,-30.120,188,188,336,4,322,18,0,1,"2,520",,,,,,2017
67,Scott Piercy,"3,960",60,"3,960","33,098","33,098",112,428,428,773,626,626,"1,008",-0.29,-.219,-.219,-.105,-.105,-.110,.166,-2.440,-2.440,-2.222,-.219,236,236,382,4,226,19,0,,"2,616",,,,,,2017
68,John Huh,"3,314",49,"3,314","27,281","27,281",94,429,429,648,556,556,846,-0.29,.759,.759,-.145,-.145,-.107,-.040,-9.189,-9.189,-9.948,.759,172,172,290,2,210,16,0,1,"2,632",,,,,,2017
69,Kevin Kisner,"3,024",54,"3,024","24,946","24,946",86,412,412,601,522,522,774,-0.31,19.908,19.908,-.190,-.190,-.169,.262,16.408,16.408,-3.502,19.908,143,143,252,6,769,16,0,4,"2,073",,,,1,1,2017
70,Henrik Stenson,"1,782",29,"1,782","14,757","14,757",50,242,242,344,294,294,450,-0.23,-14.279,-14.279,.047,.047,.614,-.213,-3.950,-3.950,10.329,-14.279,87,87,156,2,78,11,0,,"2,764",,,,,,2017
71,Hudson Swafford,"4,379",62,"4,379","38,167","38,167",124,524,524,864,748,748,"1,116",-0.31,.696,.696,.009,.009,.406,-.649,-10.020,-10.020,-10.717,.696,200,200,368,3,640,20,1,1,"2,202",,1,1,,,2017
72,Trey Mullinax,"3,660",54,"3,660","32,881","32,881",104,396,396,719,604,604,936,-0.31,-10.996,-10.996,.493,.493,-.194,-.034,-.369,-.369,10.626,-10.996,197,197,332,1,228,19,0,1,"2,614",,,,,,2017
73,Danny Lee,"2,695",40,"2,695","22,563","22,563",76,287,287,526,435,435,684,-0.34,-11.314,-11.314,.099,.099,-.239,-.481,-27.460,-27.460,-16.143,-11.314,137,137,249,2,384,16,0,2,"2,458",,,,1,,2017
74,Henrik Norlander,"3,825",56,"3,825","28,919","28,919",100,453,453,746,652,652,972,-0.25,-17.834,-17.834,-.274,-.274,.108,-.009,-25.192,-25.192,-7.360,-17.834,181,181,320,1,189,19,0,1,"2,653",,,,,,2017
75,Wesley Bryan,"2,475",37,"2,475","18,309","18,309",62,260,260,478,380,380,630,-0.30,3.212,3.212,-1.214,-1.214,.428,.320,-8.435,-8.435,-11.646,3.212,153,153,250,4,85,12,0,,"2,757",,,,,,2017
76,Bill Haas,"4,942",74,"4,942","39,298","39,298",132,541,541,965,812,812,"1,260",-0.25,6.483,6.483,-.361,-.361,-.545,.328,-21.261,-21.261,-27.744,6.483,288,288,448,3,119,22,0,,"2,723",,,,,,2017
77,Peter Uihlein,"3,117",46,"3,117","27,362","27,362",88,279,279,611,513,513,792,-0.29,-3.384,-3.384,-.031,-.031,-.058,.032,-4.888,-4.888,-1.503,-3.384,163,163,279,1,62,15,0,,"2,780",,,,,,2017
78,Chez Reavie,"4,188",61,"4,188","33,209","33,209",118,569,569,813,683,683,"1,062",-0.24,-18.988,-18.988,-.332,-.332,.270,-.018,-22.890,-22.890,-3.903,-18.988,240,240,379,3,296,20,0,1,"2,546",,,,,,2017
79,Patrick Reed,"3,828",57,"3,828","31,208","31,208",108,451,451,752,612,612,972,-0.30,13.787,13.787,-.633,-.633,-.424,.125,-22.531,-22.531,-36.318,13.787,216,216,360,1,443,17,0,1,"2,399",,,,1,,2017
80,Brian Gay,"2,770",39,"2,770","22,039","22,039",78,323,323,541,402,402,702,-0.33,29.890,29.890,-.821,-.821,-1.389,.297,-23.676,-23.676,-53.567,29.890,176,176,300,2,90,14,0,,"2,752",,,,,,2017
81,Nick Watney,"3,844",56,"3,844","32,726","32,726",108,413,413,753,671,671,972,-0.24,7.766,7.766,-.185,-.185,.187,-.323,-5.699,-5.699,-13.463,7.766,172,172,301,1,364,19,0,1,"2,478",,,,1,,2017
82,Kevin Tway,"3,904",57,"3,904","34,081","34,081",110,379,379,763,630,630,990,-0.27,14.264,14.264,-.150,-.150,-.668,-.092,-26.666,-26.666,-40.930,14.264,215,215,360,3,303,21,0,1,"2,539",,,,1,,2017
83,Kelly Kraft,"3,204",47,"3,204","25,732","25,732",90,405,405,619,501,501,810,-0.30,22.510,22.510,-.366,-.366,-.621,-.290,-19.662,-19.662,-42.173,22.510,170,170,309,2,114,19,0,,"2,728",,,,,,2017
84,Jim Herman,"2,915",43,"2,915","23,851","23,851",82,393,393,568,503,503,738,-0.21,-14.245,-14.245,-.031,-.031,-.226,-.244,-30.783,-30.783,-16.539,-14.245,137,137,235,2,75,15,0,1,"2,767",,,,,,2017
85,Emiliano Grillo,"3,665",54,"3,665","29,267","29,267",96,463,463,718,627,627,936,-0.31,-4.503,-4.503,.316,.316,-.103,-.241,-5.621,-5.621,-1.118,-4.503,177,177,309,2,145,19,0,,"2,697",,,,,,2017
86,Camilo Villegas,"3,412",52,"3,412","27,912","27,912",96,397,397,669,573,573,864,-0.26,-23.241,-23.241,-.170,-.170,-.027,.179,-23.782,-23.782,-.542,-23.241,162,162,291,2,85,17,0,,"2,757",,,,,,2017
87,Sung Kang,"4,529",66,"4,529","35,291","35,291",120,533,533,884,768,768,"1,152",-0.28,9.845,9.845,-.317,-.317,-.392,-.179,-30.988,-30.988,-40.834,9.845,225,225,384,2,145,23,0,,"2,697",,,,,,2017
88,Kyle Stanley,"3,061",47,"3,061","22,684","22,684",78,397,397,593,531,531,774,-0.20,-30.731,-30.731,.235,.235,.053,-.432,-34.629,-34.629,-3.898,-30.731,138,138,243,4,80,18,0,,"2,762",,,,,,2017
89,Brandt Snedeker,"3,046",45,"3,046","24,925","24,925",86,367,367,599,520,520,774,-0.26,-7.192,-7.192,-.266,-.266,-.085,-.026,-19.646,-19.646,-12.456,-7.192,149,149,254,4,122,17,0,,"2,720",,,,,,2017
90,Branden Grace,"3,261",50,"3,261","24,888","24,888",84,385,385,640,546,546,828,-0.26,-24.056,-24.056,.019,.019,-.356,.055,-35.613,-35.613,-11.556,-24.056,167,167,282,1,213,17,0,2,"2,629",,,,,,2017
91,Jimmy Walker,"2,913",41,"2,913","24,097","24,097",82,303,303,569,476,476,738,-0.27,-9.899,-9.899,-.565,-.565,.101,.215,-18.088,-18.088,-8.191,-9.899,150,150,262,1,83,14,0,,"2,759",,,,,,2017
92,Seung-Yul Noh,"3,205",47,"3,205","26,874","26,874",90,315,315,623,537,537,810,-0.27,.321,.321,-1.165,-1.165,-.076,.133,-30.715,-30.715,-31.038,.321,155,155,273,3,74,16,0,,"2,768",,,,,,2017
93,Kevin Chappell,"2,771",43,"2,771","24,107","24,107",78,267,267,545,472,472,702,-0.29,-2.730,-2.730,-.350,-.350,-.297,-.214,-26.852,-26.852,-24.123,-2.730,124,124,230,3,108,13,0,,"2,734",,,,,,2017
94,Charley Hoffman,"3,053",45,"3,053","24,059","24,059",78,279,279,596,499,499,774,-0.30,-12.140,-12.140,-.306,-.306,-.332,.022,-34.289,-34.289,-22.149,-12.140,160,160,275,4,99,16,0,,"2,743",,,,,,2017
95,Jason Dufner,"2,297",34,"2,297","18,586","18,586",64,271,271,444,363,363,576,-0.25,-11.019,-11.019,-.080,-.080,-.302,-.079,-20.706,-20.706,-9.686,-11.019,120,120,213,2,40,14,0,,"2,802",,,,,,2017
96,Charl Schwartzel,"2,940",45,"2,940","24,693","24,693",82,317,317,571,450,450,738,-0.27,-19.186,-19.186,-.366,-.366,-.273,.101,-35.860,-35.860,-16.673,-19.186,155,155,288,3,191,15,0,2,"2,651",,,,,,2017
97,Richy Werenski,"3,442",50,"3,442","28,111","28,111",96,376,376,661,536,536,864,-0.27,9.589,9.589,-.420,-.420,-.617,-.310,-38.880,-38.880,-48.470,9.589,184,184,328,1,81,19,0,,"2,761",,,,,,2017
98,Jonas Blixt,"2,178",30,"2,178","17,566","17,566",60,236,236,415,298,298,540,-0.28,.504,.504,-.249,-.249,-1.500,-.148,-41.229,-41.229,-41.734,.504,139,139,242,1,15,13,0,,"2,827",,,,,,2017
0,Rory McIlroy,"2,091",30,"2,091","19,200","19,200",60,253,253,420,364,364,540,-0.32,8.564,8.564,.916,.916,.403,.316,51.068,51.068,42.506,8.564,112,112,176,3,"1,190",8,1,5,"1,652",,1,1,1,,2018
1,Cameron Smith,"2,468",40,"2,468","21,540","21,540",72,291,291,504,454,454,648,-0.39,21.103,21.103,-.049,-.049,1.078,.239,60.401,60.401,39.298,21.103,118,118,194,5,"1,603",11,2,5,"1,239",,2,2,,1,2018
2,Matt Fitzpatrick,"2,792",43,"2,792","23,765","23,765",80,357,357,555,474,474,720,-0.27,17.462,17.462,.558,.558,.465,.462,56.081,56.081,38.618,17.462,172,172,246,1,795,12,0,6,"2,047",,,,1,,2018
3,Justin Thomas,"3,281",51,"3,281","30,069","30,069",96,375,375,672,599,599,864,-0.39,10.977,10.977,.476,.476,.873,.366,77.857,77.857,66.880,10.977,181,181,265,6,"1,568",13,1,8,"1,274",,1,1,,2,2018
4,Russell Henley,"4,033",61,"4,033","34,371","34,371",116,540,540,808,724,724,"1,044",-0.32,-.174,-.174,-.010,-.010,.966,.331,60.351,60.351,60.525,-.174,182,182,320,1,762,16,0,2,"2,080",,,,1,,2018
5,Tommy Fleetwood,"2,655",43,"2,655","20,544","20,544",68,317,317,524,445,445,684,-0.32,17.156,17.156,.211,.211,.149,.414,40.371,40.371,23.216,17.156,149,149,239,4,481,12,0,3,"2,361",,,,,,2018
6,Joaquin Niemann,"3,469",54,"3,469","28,370","28,370",92,394,394,694,600,600,900,-0.34,4.097,4.097,.507,.507,.300,.487,50.679,50.679,46.582,4.097,190,190,300,3,994,16,1,3,"1,848",,1,1,,,2018
7,Jon Rahm,"2,924",46,"2,924","26,773","26,773",84,387,387,588,550,550,756,-0.31,.285,.285,1.370,1.370,.542,-.212,59.810,59.810,59.527,.285,120,120,206,4,"1,279",12,1,5,"1,563",,1,1,1,1,2018
8,Matt Kuchar,"3,812",55,"3,812","31,611","31,611",110,499,499,765,637,637,990,-0.30,29.647,29.647,-.209,-.209,-.020,.659,50.265,50.265,20.618,29.647,251,251,353,3,676,15,0,3,"2,166",,,,1,1,2018
9,Hideki Matsuyama,"3,665",53,"3,665","30,005","30,005",98,458,458,742,666,666,954,-0.34,-5.824,-5.824,.242,.242,.782,.178,47.088,47.088,52.913,-5.824,181,181,288,2,"1,544",14,2,5,"1,298",,2,2,,1,2018
10,Xander Schauffele,"2,765",47,"2,765","22,210","22,210",72,353,353,556,504,504,720,-0.34,8.103,8.103,.493,.493,.578,.273,52.495,52.495,44.392,8.103,141,141,216,4,995,13,1,3,"1,847",,1,1,,1,2018
11,Seamus Power,"4,154",67,"4,154","36,037","36,037",120,539,539,841,760,760,"1,080",-0.32,20.994,20.994,.232,.232,.017,.094,35.751,35.751,14.756,20.994,211,211,320,2,892,20,0,5,"1,950",,,,,1,2018
12,Sam Burns,"3,189",50,"3,189","28,444","28,444",92,386,386,640,577,577,828,-0.35,18.896,18.896,.190,.190,.678,.145,62.492,62.492,43.595,18.896,156,156,251,1,"1,601",15,2,6,"1,241",,2,2,1,,2018
13,Billy Horschel,"2,934",50,"2,934","24,782","24,782",84,402,402,592,514,514,756,-0.31,20.257,20.257,.322,.322,-.108,.383,39.948,39.948,19.691,20.257,149,149,242,2,784,13,0,4,"2,058",,,,2,,2018
14,Tom Hoge,"4,871",75,"4,871","39,302","39,302",132,605,605,971,839,839,"1,260",-0.30,-1.568,-1.568,.103,.103,.848,.186,57.570,57.570,59.136,-1.568,286,286,421,3,"1,309",22,1,4,"1,533",,1,1,1,,2018
15,Denny McCarthy,"4,892",72,"4,892","40,752","40,752",140,637,637,971,823,823,"1,260",-0.28,39.099,39.099,-.076,-.076,-.151,.224,38.952,38.952,-.148,39.099,296,296,437,1,529,20,0,2,"2,313",,,,,,2018
16,Patrick Cantlay,"2,221",39,"2,221","19,427","19,427",64,282,282,451,387,387,576,-0.35,6.031,6.031,.491,.491,.173,.288,28.879,28.879,22.849,6.031,122,122,189,5,"1,410",11,1,6,"1,432",,1,1,2,,2018
17,Corey Conners,"3,704",60,"3,704","31,908","31,908",106,485,485,742,667,667,954,-0.27,4.423,4.423,.715,.715,.278,.018,49.930,49.930,45.507,4.423,179,179,287,1,703,16,0,2,"2,139",,,,,1,2018
18,Tyrrell Hatton,"2,675",46,"2,675","22,716","22,716",76,291,291,526,428,428,684,-0.34,29.730,29.730,-.036,-.036,.329,.210,44.850,44.850,15.119,29.730,144,144,256,3,564,12,0,2,"2,278",,,,1,,2018
19,Keith Mitchell,"3,897",61,"3,897","34,621","34,621",112,480,480,779,682,682,"1,008",-0.30,9.073,9.073,.728,.728,-.044,.089,46.155,46.155,37.081,9.073,208,208,326,3,638,18,0,4,"2,204",,,,,1,2018
20,Keegan Bradley,"3,771",61,"3,771","30,764","30,764",100,442,442,750,634,634,972,-0.31,1.609,1.609,.519,.519,.463,.225,54.752,54.752,53.144,1.609,205,205,338,3,761,17,0,5,"2,081",,,,1,,2018
21,Aaron Wise,"3,895",56,"3,895","34,376","34,376",112,460,460,774,698,698,"1,008",-0.31,-4.644,-4.644,.365,.365,.510,.146,47.451,47.451,52.095,-4.644,193,193,310,2,529,16,0,3,"2,313",,,,,,2018
22,Troy Merritt,"4,137",61,"4,137","32,131","32,131",110,502,502,817,651,651,"1,062",-0.31,25.233,25.233,.129,.129,.039,.042,34.924,34.924,9.692,25.233,273,273,411,2,539,17,0,2,"2,303",,,,,,2018
23,Chris Kirk,"3,768",58,"3,768","30,051","30,051",100,487,487,749,650,650,972,-0.30,-5.267,-5.267,.453,.453,.463,.512,53.311,53.311,58.579,-5.267,205,205,322,4,499,17,0,3,"2,343",,,,,,2018
24,Brian Harman,"3,846",58,"3,846","31,744","31,744",110,524,524,761,660,660,990,-0.28,13.436,13.436,.167,.167,.044,.073,26.549,26.549,13.112,13.436,209,209,330,7,451,17,0,3,"2,391",,,,,1,2018
25,Marc Leishman,"3,621",59,"3,621","31,809","31,809",104,421,421,728,634,634,936,-0.33,27.517,27.517,.053,.053,.362,.026,48.275,48.275,20.757,27.517,193,193,302,6,601,16,0,3,"2,241",,,,,1,2018
26,Alex Noren,"3,545",56,"3,545","28,221","28,221",94,412,412,706,615,615,918,-0.30,19.740,19.740,.024,.024,.299,.066,34.910,34.910,15.172,19.740,200,200,303,3,492,16,0,2,"2,350",,,,,,2018
27,Jhonattan Vegas,"3,986",57,"3,986","33,720","33,720",106,444,444,786,704,704,"1,026",-0.31,-2.436,-2.436,.422,.422,.386,-.145,26.113,26.113,28.550,-2.436,185,185,322,1,379,16,0,1,"2,463",,,,,,2018
28,Luke List,"4,070",61,"4,070","34,063","34,063",108,448,448,804,726,726,"1,044",-0.27,-36.156,-36.156,.757,.757,.556,.172,32.178,32.178,68.332,-36.156,188,188,318,5,861,20,1,3,"1,981",,1,1,,,2018
29,Louis Oosthuizen,"2,099",33,"2,099","17,950","17,950",60,281,281,416,358,358,540,-0.30,-.589,-.589,.438,.438,-.133,.364,18.835,18.835,19.424,-.589,109,109,182,3,175,10,0,,"2,667",,,,,,2018
30,Gary Woodland,"3,449",49,"3,449","30,534","30,534",98,364,364,676,590,590,882,-0.28,11.773,11.773,.209,.209,.432,.066,41.459,41.459,29.686,11.773,181,181,292,2,470,16,0,4,"2,372",,,,,,2018
31,Sergio Garcia,"2,256",37,"2,256","19,485","19,485",64,268,268,448,386,386,576,-0.28,5.983,5.983,.712,.712,-.266,.040,17.648,17.648,11.667,5.983,118,118,190,3,294,11,0,1,"2,548",,,,,,2018
32,Webb Simpson,"2,663",41,"2,663","22,794","22,794",76,344,344,528,440,440,684,-0.31,.892,.892,-.015,-.015,.205,.296,16.954,16.954,16.061,.892,144,144,244,6,262,12,0,1,"2,580",,,,,,2018
33,Russell Knox,"4,696",71,"4,696","39,404","39,404",134,638,638,929,869,869,"1,206",-0.24,-31.253,-31.253,.298,.298,.535,-.021,14.235,14.235,45.488,-31.253,198,198,337,3,398,21,0,2,"2,444",,,,,,2018
34,Charles Howell III,"2,936",42,"2,936","25,584","25,584",84,357,357,584,530,530,756,-0.27,-12.343,-12.343,.338,.338,-.049,.450,13.520,13.520,25.864,-12.343,139,139,226,4,277,13,0,1,"2,565",,,,,,2018
35,Adam Hadwin,"4,192",62,"4,192","35,515","35,515",120,535,535,835,744,744,"1,080",-0.28,7.947,7.947,-.127,-.127,.458,.348,39.190,39.190,31.242,7.947,214,214,336,3,532,18,0,4,"2,310",,,,,,2018
36,Harold Varner III,"3,010",50,"3,010","26,105","26,105",86,329,329,597,502,502,774,-0.34,1.873,1.873,-.136,-.136,.413,.397,25.483,25.483,23.610,1.873,171,171,272,1,557,15,0,3,"2,285",,,,,1,2018
